title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
The diaries,1910-1923,"biography, autobiography",Franz Kafka,9780805209068,http://books.google.com/books/content?id=j6WIHMphOD4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Journal entries share Kafka's thoughts and observations during the ten years before his death,521.0
"The Trial of God (as it was Held on February 25, 1649, in Shamgorod)",A Play,fiction,Elie Wiesel,9780805210538,http://books.google.com/books/content?id=8bH2Qt4QdaIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A drama set in a medieval village where three itinerant Jewish actors put God on trial to answer for his silence during a pogrom considers post-Holocaust issues,208.0
How to Be a Jewish Parent,A Practical Handbook for Family Life,"family, relationships",Anita Diamant;Karen Kushner,9780805211160,http://books.google.com/books/content?id=esGb1piokh0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"How can I make the holidays interesting and meaningful to my child? Should I send my child to a Jewish day school? A Jewish summer camp? What kind of synagogue is best for my family? How do I plan a family trip to Israel or add Jewish heritage sites when traveling around the country or around the world? If you are, or hope to be, a Jewish parent in more than name, you have a lot of decisions to make. So many choices! But you can have no better guide to this wealth of opportunity than Anita Diamant. The author of popular books on Jewish weddings and baby rituals, Diamant now joins with family therapist Karen Kushner to help you through the next steps. They give creative, practical answers to these and many other questions, provide guidance on how to foster Jewish decision making for children of all ages, describe how to make your home a ""Jewish space,"" and explain the importance of synagogue membership, holiday celebrations, community service, and other family activities. Diamant and Kushner draw from many sources to describe the practices, customs, and values that go into creating a Jewish home. They combine insights from Jewish tradition with contemporary developmental thinking about how children learn and grow. They provide addresses (including Web sites) where you can find specific information and other resources. And since experience may be the best of all teachers, they share their own and other parents' stories and observations. For Diamant and Kushner, the number-one goal ofHow to Be a Jewish Parentis to give parents (and grandparents) guideposts to raising joyful children within the rich tradition of the Jewish faith and culture. No Jewish family should be without it.",352.0
Anatomy & Physiology Coloring Workbook,A Complete Study Guide,medical,Elaine N. Marieb,9780805372762,http://books.google.com/books/content?id=CWUMAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""This workbook is an excellent tool for use by itself or with any human anatomy & physiology text. Along with its review of the human body from microscopic to macroscopic levels, the workbook also includes clinically oriented activities. Practice makes perfect with a wide variety of exercises - ""At the clinic"" questions help you apply what you learn to real-life clinical settings; ""Incredible journey"" visualization exercises in each chapter summarize chapter content; the many written exercises include completion from a selection of key choices, matching terms or descriptions, labeling diagrams, true/false, and definition questions. Elimination questions require you to discover the similarities or dissimilarities among a number of structures or objects; more than 100 coloring exercises reinforce concepts through active learning."" - back cover.",368.0
Things Pondered,From the Heart of a Lesser Woman,religion,Beth Moore,9780805427318,http://books.google.com/books/content?id=rsvxqaqVNLQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Just as Mary treasured her memories as the mother of Jesus and pondered them in her heart, this book celebrates treasured moments in the life of every woman, wife, and mother. Told from a fresh, personal perspective, these stories and poems form a warm, inspiring collection of remembrances of children, Christmas, marriage, trials, friendship, the seasons, grace, and above all, God’s love for us. Things Pondered proves Beth Moore not only to be an effective speaker and author of popular Bible studies, but also show her to be a gifted, sensitive writer and poet.",160.0
Monkey Business,The True Story of the Scopes Trial,religion,Marvin N. Olasky;John Perry,9780805431575,http://books.google.com/books/content?id=oIoMlTqoxscC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Describes the famous 1925 courtroom showdown of William Jennings Bryan and Clarence Darrow over the teaching of evolution in public schools, and points out details and discrepancies that have not come to light until recently.",368.0
Writing the Qualitative Dissertation,Understanding by Doing,education,Judith M. Meloy,9780805832891,http://books.google.com/books/content?id=h5tbvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The purpose of this book is to share, in rich detail, an understanding of how it feels and what it means to do qualitative research, and to provide support for doctoral students who choose this form of inquiry for their dissertation research.",242.0
Ovid's Metamorphoses,Books 6-10,"social, science",Ovid,9780806114569,http://books.google.com/books/content?id=0RUhlNVR758C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Ovid is a poet to enjoy, declares William S. Anderson in his introduction to this textbook. And Anderson’s skillful introduction and enlightening textual commentary will indeed make it a joy to use. In these books Ovid begins to leave the conflict between men and the gods to concentrate on the relations among human beings. Subjects of the stories include Arachne and Niobe; Tereus, Procne, and Philomela; Medea and Jason; Orpheus and Eurydice; and many others, familiar and unfamiliar. For students of Latin-and teachers, too-they provide an interesting experience. In his introduction the editor discusses Ovid’s career, the reputation of the Metamorphoses during Ovid’s time and after, and the various manuscripts that exist or have been known to exist. He describes the general plan of the poem, its main theme, and the problem of its tone. Technical matters, such as style and meter, are also considered. In notes the editor summarizes the story being told before proceeding to the line-by-line textual comments.",560.0
Warfare in the Classical World,"An Illustrated Encyclopedia of Weapons, Warriors, and Warfare in the Ancient Civilisations of Greece and Rome",history,John Gibson Warry,9780806127941,http://books.google.com/books/content?id=TFTIQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Traces the evolution of the art of warfare in the Greek and Roman worlds between 1600 BC and AD 800.,224.0
Regeneration Through Violence,"The Mythology of the American Frontier, 1600-1860","literary, criticism",Richard Slotkin,9780806132297,http://books.google.com/books/content?id=552NfCm3-WwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Originally published: Middletown, Conn.: Wesleyan University Press, 1973.",670.0
