title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
"The Demon Princes, Vol. 1",The Star King * The Killing Machine * The Palace of Love,fiction,Jack Vance,9780312853020,http://books.google.com/books/content?id=L2nkDav2B-oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Collects three of the author's novels about the Demon Princes, a destructive race of beings who disguise themselves as humans, and Kerth Gersen, who is out to avenge himself for the destruction of his world",446.0
The Memory of Whiteness,A Scientific Romance,fiction,Kim Stanley Robinson,9780312861438,http://books.google.com/books/content?id=NZak7Hk5zTQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the year 3229 AD, when the best and sometimes only means of communication is through music, Johannes Wright, master Musician, and his friends and enemies journey toward an understanding of the Universe",352.0
Xenocide,Volume Three of the Ender Quintet,fiction,Orson Scott Card,9780312861872,http://books.google.com/books/content?id=T2AfTwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The war for survival of the planet Lusitania will be fought in the heart of a child named Gloriously Bright. On Lusitania, Ender found a world where humans and pequininos and the Hive Queen could all live together; where three very different intelligent species could find common ground at last. Or so he thought. Lusitania also harbors the descolada, a virus that kills all humans it infects, but which the pequininos require in order to become adults. The Startways Congress so fears the effects of the descolada, should it escape from Lusitania, that they have ordered the destruction of the entire planet, and all who live there. The Fleet is on its way, a second xenocide seems inevitable. Xenocide is the third novel in Orson Scott Card's Ender Quintet.",592.0
"The Demon Princes, Vol. 2",The Face * The Book of Dreams,fiction,Jack Vance,9780312865764,http://books.google.com/books/content?id=z3UwcQvKmrUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Jack Vance is undoubtedly one of the most gifted and versatile authors of science fiction today. The winner of a Hugo, a Nebula, and a World Fantasy Award, Vance lays claim to a career that spans more than five decades of critical acclaim and devoted readership. Tor Books has recognized his widespread audience and for years has brought classic Jack Vance novels back into print--most recently The Demon Princes, Volume One, and omnibus containing the first three books of Vance's beloved Demon Princes series. Tor now presents The Demon Princes, Volume Two, and omnibus containing the series' final two novels, The Face and The Book of Dreams. Kirth Gersen carries in his pocket a slip of paper with a list of five names written upon it--the names of five Demon Princes. The Demon Princes are a race of beings who disguise themselves as humans and delight in power and destruction. however, to Kirth they are merely murderers who killed his family and destroyed his home planet--and who deserves to die for those misdeeds. Three have already fallen in Kirth's hands, but there are two more names on his list, two more Princes who will live only long enough to regret their evil ways. Lens Larque was just as unique as the other Demon Princes--uniquely appalling. He was personally ugly, startling vicious, and arrogant above all others. Larque's own mission was a villainy of the highest order, and his personal obsession with success kept him hidden well from attackers--almost well enough. Howard Alan Treesong poisoned his friends, tortured his colleagues, and wrote his own horrific holy book, The Book of Dreams. But, clever as he may be, a galaxy-wide guessing game will be his undoing--and Kirth Gersen's sworn vengeance will be complete.",397.0
Jack of Kinrowan,Jack the Giant-Killer and Drink Down the Moon,fiction,Charles de Lint,9780312869595,http://books.google.com/books/content?id=FcODdbHfSbgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The two stories of Jacky Rowan are combined into one volume, which tells the complete story of how she is dumped into the perilous land of the Faerie and how her enslavement is broken by a young fiddler. Reprint. 20,000 first printing.",412.0
The Land of Laughs,A Novel,fiction,Jonathan Carroll,9780312873110,http://books.google.com/books/content?id=OUIAmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Have you ever loved a magical book above all others? Have you ever wished the magic were real? Welcome to The Land of Laughs. A novel about how terrifying that would be. Schoolteacher Thomas Abbey, unsure son of a film star, doesn't know who he is or what he wants--in life, in love, or in his relationship with the strange and intense Saxony Gardner. What he knows is that in his whole life nothing has touched him so deeply as the novels of Marshall France, a reclusive author of fabulous children's tales who died at forty-four. Now Thomas and Saxony have come to France's hometown, the dreamy Midwestern town of Galen, Missouri, to write France's biography. Warned in advance that France's family may oppose them, they're surprised to find France's daughter warmly welcoming instead. But slowly they begin to see that something fantastic and horrible is happening. The magic of Marshall France has extended far beyond the printed page...leaving them with a terrifying task to undertake.",256.0
Tales of the Dying Earth,"Including 'The Dying Earth,' 'The Eyes of the Overworld,' 'Cugel's Saga,' and 'Rhialto the Marvellous'",fiction,Jack Vance,9780312874568,http://books.google.com/books/content?id=Y_HRpJHlylUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A first-time compilation of a classic science fiction series gathers all four books of The Dying Earth series--The Dying Earth, The Eyes of the Overworld, Cugel's Saga, and Rialto the Magnificent--in which Earth, in the distant future, tries to survive the approaching death of its red sun. Reprint. 12,500 first printing.",741.0
Duel,Terror Stories by Richard Matheson,fiction,Richard Matheson,9780312878269,http://books.google.com/books/content?id=CEM1sk7k3XQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Collects horror stories such as ""Third from the Sun,"" ""Little Girl Lost,"" ""Death Ship,"" and ""Duel,"" which was the basis for the Spielberg film of the same name.",400.0
Sword & Citadel,The Second Half of 'The Book of the New Sun',fiction,Gene Wolfe,9780312890186,http://books.google.com/books/content?id=cMwvcO6bxeAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""The Citadel of the Autarch brings The Book of the New sun to its harrowing conclusion, as Severiain clashes in a final reckoning with the dread Autarch, fulfilling an ancient prophesy that will alter forever the realm known as Urth."" -- Back cover.",411.0
Pacific Edge,Three Californias,fiction,Kim Stanley Robinson,9780312890384,http://books.google.com/books/content?id=H_ubx3mtdPwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Set at the end of the 21st century in California, this story revolves around a seemingly perfect society. At first, bio-architect Kevin Claiborne thinks he has indeed found Utopia, but gradually events lead him to discover the corruption beneath the surface.",336.0
Devil's Backbone,"The Modoc War, 1872-3",fiction,Terry C. Johnston,9780312925741,http://books.google.com/books/content?id=0jU3QgOmkmIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Devil's Backbone Terry C. Johnston The Modoc Indians and American officials had been flirting with war in the Oregon Territory for some time. When Modoc chief Keintpoos murdered a Civil War hero during negotiations, the U.S. Army launched a deadly offensive against the rebel tribe. Besieged in the natural stronghold of the Lava Beds near Tule Lake, the Modocs waged bloody war for seven long months. Sergeant Seamus Donegan, on the trail of his uncle, Ian O'Rourke, arrived at Tule Lake just as the conflict erupted. Soon Donegan and the brooding O'Rourke found themselves embroiled in what would be the costliest war in frontier history...",448.0
The Circle,He Pledged To Serve With Duty And Honor. Instead He Fought Betrayal On A Ship Bound For Danger.,fiction,David Poyer,9780312929640,http://books.google.com/books/content?id=N-H70tCN0S8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Fresh from Annapolis, Dan Lenson boards an antiquated destroyer headed for the Arctic Circle, where he and the crew encounter a rogue sub, violent weather, and possible court martial",543.0
Name Dropping,What If Two Very Different Women Had The Same Exact Name?,fiction,Rachael F. Heller,9780312978334,http://books.google.com/books/content?id=ElhF-a6l4TMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Pre-school teacher Nancy Stern is in a personal and professional rut. But what really puts a dent in her self-esteem is the realization that another woman named Nancy Stern has just moved into her building... a Nancy Stern who lives in the penthouse... A Nancy Stern who interviews celebrities for glossy magazines... a Nancy Stern who's chummy with Kevin Costner. Nancy's loss of her own specialness deepens as she keeps getting the other, more glamorous Nancy's mail, phone calls and party invitations by mistake. It's all too much to bear--until a man calls one night, intending to ask the other Nancy out on a blind date. What follows is a raucous and romantic involving mix-ups, mistaken identity, and murder ...",323.0
